hanzi,tl,frequency,poj,tl_num,poj_num,tl_notone,poj_notone,tl_abbrev,poj_abbrev,taigitv
斜體,tshiâ-thé,25,chhiâ-thé,tshia5the2,chhia5the2,tshiathe,chhiathe,tt,ct,True
斷食,tn̄g-si̍t,25,tn̄g-si̍t,tng7sit8,tng7sit8,tngsit,tngsit,ts,ts,True
早鳥,tsá-niáu,25,chá-niáu,tsa2niau2,cha2niau2,tsaniau,chaniau,tn,cn,True
明膠,bîng-ka,25,bêng-ka,bing5ka1,beng5ka1,bingka,bengka,bk,bk,True
晉級,tsìn-kip,25,chìn-kip,tsin3kip4,chin3kip4,tsinkip,chinkip,tk,ck,True
暖男,luán-lâm,25,loán-lâm,luan2lam5,loan2lam5,luanlam,loanlam,ll,ll,True
暗影,àm-iánn,25,àm-iáⁿ,am3iann2,am3iann2,amiann,amiann,ai,ai,True
暗擊,àm-kik,25,àm-kek,am3kik4,am3kek4,amkik,amkek,ak,ak,True
暗碼,àm-bé,25,àm-bé,am3be2,am3be2,ambe,ambe,ab,ab,True
更新,king-sin,25,keng-sin,king1sin1,keng1sin1,kingsin,kengsin,ks,ks,True
書籤,su-tshiam,25,su-chhiam,su1tshiam1,su1chhiam1,sutshiam,suchhiam,st,sc,True
書籤,tsu-tshiam,25,chu-chhiam,tsu1tshiam1,chu1chhiam1,tsutshiam,chuchhiam,tt,cc,True
書迷,tsu-bê,25,chu-bê,tsu1be5,chu1be5,tsube,chube,tb,cb,True
木球,bo̍k-kiû,25,bo̍k-kiû,bok8kiu5,bok8kiu5,bokkiu,bokkiu,bk,bk,True
松露,siông-lōo,25,siông-lō͘,siong5loo7,siong5loo7,siongloo,siongloo,sl,sl,True
板球,pán-kiû,25,pán-kiû,pan2kiu5,pan2kiu5,pankiu,pankiu,pk,pk,True
果凍,kó-tàng,25,kó-tàng,ko2tang3,ko2tang3,kotang,kotang,kt,kt,True
果膠,kó-ka,25,kó-ka,ko2ka1,ko2ka1,koka,koka,kk,kk,True
枝豆,ki-tāu,25,ki-tāu,ki1tau7,ki1tau7,kitau,kitau,kt,kt,True
柔術,jiû-su̍t,25,jiû-su̍t,jiu5sut8,jiu5sut8,jiusut,jiusut,js,js,True
柔道,jiû-tō,25,jiû-tō,jiu5to7,jiu5to7,jiuto,jiuto,jt,jt,True
柴狗,tshâ-káu,25,chhâ-káu,tsha5kau2,chha5kau2,tshakau,chhakau,tk,ck,True
栓窒,sng-that,25,sng-that,sng1that4,sng1that4,sngthat,sngthat,st,st,True
栗子,la̍t-tsí,25,la̍t-chí,lat8tsi2,lat8chi2,lattsi,latchi,lt,lc,True
核心,hi̍k-sim,25,he̍k-sim,hik8sim1,hek8sim1,hiksim,heksim,hs,hs,True
核桃,hu̍t-thô,25,hu̍t-thô,hut8tho5,hut8tho5,huttho,huttho,ht,ht,True
格式,keh-sik,25,keh-sek,keh4sik4,keh4sek4,kehsik,kehsek,ks,ks,True
桌球,toh-kiû,25,toh-kiû,toh4kiu5,toh4kiu5,tohkiu,tohkiu,tk,tk,True
桌遊,toh-iû,25,toh-iû,toh4iu5,toh4iu5,tohiu,tohiu,ti,ti,True
桔仔,kiat-á,25,kiat-á,kiat4a2,kiat4a2,kiata,kiata,ka,ka,True
梅仔,muê-á,25,môe-á,mue5a2,moe5a2,muea,moea,ma,ma,True
梅仔,m̂-á,25,m̂-á,m5a2,m5a2,ma,ma,ma,ma,True
條碼,tiâu-bé,25,tiâu-bé,tiau5be2,tiau5be2,tiaube,tiaube,tb,tb,True
棍術,kùn-su̍t,25,kùn-su̍t,kun3sut8,kun3sut8,kunsut,kunsut,ks,ks,True
棒球,pāng-kiû,25,pāng-kiû,pang7kiu5,pang7kiu5,pangkiu,pangkiu,pk,pk,True
棗仔,tsó-á,25,chó-á,tso2a2,cho2a2,tsoa,choa,ta,ca,True
棲地,tshe-tuē,25,chhe-tōe,tshe1tue7,chhe1toe7,tshetue,chhetoe,tt,ct,True
棲地,tshe-tē,25,chhe-tē,tshe1te7,chhe1te7,tshete,chhete,tt,ct,True
椰果,iâ-kó,25,iâ-kó,ia5ko2,ia5ko2,iako,iako,ik,ik,True
椰漿,iâ-tsiunn,25,iâ-chiuⁿ,ia5tsiunn1,ia5chiunn1,iatsiunn,iachiunn,it,ic,True
槌球,thuî-kiû,25,thûi-kiû,thui5kiu5,thui5kiu5,thuikiu,thuikiu,tk,tk,True
槍術,tshiunn-su̍t,25,chhiuⁿ-su̍t,tshiunn1sut8,chhiunn1sut8,tshiunnsut,chhiunnsut,ts,cs,True
槓鈴,kǹg-lîng,25,kǹg-lêng,kng3ling5,kng3leng5,kngling,kngleng,kl,kl,True
標槍,pio-tshiunn,25,pio-chhiuⁿ,pio1tshiunn1,pio1chhiunn1,piotshiunn,piochhiunn,pt,pc,True
標題,phiau-tuê,25,phiau-tôe,phiau1tue5,phiau1toe5,phiautue,phiautoe,pt,pt,True
標題,phiau-tê,25,phiau-tê,phiau1te5,phiau1te5,phiaute,phiaute,pt,pt,True
標題,piau-tuê,25,piau-tôe,piau1tue5,piau1toe5,piautue,piautoe,pt,pt,True
標題,piau-tê,25,piau-tê,piau1te5,piau1te5,piaute,piaute,pt,pt,True
模板,bôo-pán,25,bô͘-pán,boo5pan2,boo5pan2,boopan,boopan,bp,bp,True
樹掛,tshiū-kuà,25,chhiū-kòa,tshiu7kua3,chhiu7koa3,tshiukua,chhiukoa,tk,ck,True
橄欖,kan-ná,25,kan-ná,kan1na2,kan1na2,kanna,kanna,kn,kn,True
橋牌,kiô-pâi,25,kiô-pâi,kio5pai5,kio5pai5,kiopai,kiopai,kp,kp,True
檢視,kiám-sī,25,kiám-sī,kiam2si7,kiam2si7,kiamsi,kiamsi,ks,ks,True
歇暝,hioh-mê,25,hioh-mê,hioh4me5,hioh4me5,hiohme,hiohme,hm,hm,True
歇暝,hioh-mî,25,hioh-mî,hioh4mi5,hioh4mi5,hiohmi,hiohmi,hm,hm,True
正子,tsiànn-jí,25,chiàⁿ-jí,tsiann3ji2,chiann3ji2,tsiannji,chiannji,tj,cj,True
正子,tsiànn-lí,25,chiàⁿ-lí,tsiann3li2,chiann3li2,tsiannli,chiannli,tl,cl,True
正齒,tsiànn-khí,25,chiàⁿ-khí,tsiann3khi2,chiann3khi2,tsiannkhi,chiannkhi,tk,ck,True
武術,bú-su̍t,25,bú-su̍t,bu2sut8,bu2sut8,busut,busut,bs,bs,True
歹球,pháinn-kiû,25,pháiⁿ-kiû,phainn2kiu5,phainn2kiu5,phainnkiu,phainnkiu,pk,pk,True
段位,tuānn-uī,25,tōaⁿ-ūi,tuann7ui7,toann7ui7,tuannui,toannui,tu,tu,True
段落,tuānn-lo̍h,25,tōaⁿ-lo̍h,tuann7loh8,toann7loh8,tuannloh,toannloh,tl,tl,True
殺球,sat-kiû,25,sat-kiû,sat4kiu5,sat4kiu5,satkiu,satkiu,sk,sk,True
毛筅,mn̂g-tshíng,25,mn̂g-chhéng,mng5tshing2,mng5chheng2,mngtshing,mngchheng,mt,mc,True
毛豆,môo-tāu,25,mô͘-tāu,moo5tau7,moo5tau7,mootau,mootau,mt,mt,True
氣糋,khì-tsìnn,25,khì-chìⁿ,khi3tsinn3,khi3chinn3,khitsinn,khichinn,kt,kc,True
水球,tsuí-kiû,25,chúi-kiû,tsui2kiu5,chui2kiu5,tsuikiu,chuikiu,tk,ck,True
水蓮,tsuí-liân,25,chúi-liân,tsui2lian5,chui2lian5,tsuilian,chuilian,tl,cl,True
水螅,tsuí-sik,25,chúi-sek,tsui2sik4,chui2sek4,tsuisik,chuisek,ts,cs,True
水豬,tsuí-ti,25,chúi-ti,tsui2ti1,chui2ti1,tsuiti,chuiti,tt,ct,True
水豬,tsuí-tu,25,chúi-tu,tsui2tu1,chui2tu1,tsuitu,chuitu,tt,ct,True
決賽,kuat-sài,25,koat-sài,kuat4sai3,koat4sai3,kuatsai,koatsai,ks,ks,True
沙拉,sa-la,25,sa-la,sa1la1,sa1la1,sala,sala,sl,sl,True
河內,hô-luē,25,hô-lōe,ho5lue7,ho5loe7,holue,holoe,hl,hl,True
油鯃,iû-ngôo,25,iû-ngô͘,iu5ngoo5,iu5ngoo5,iungoo,iungoo,in,in,True
法鬥,huat-tàu,25,hoat-tàu,huat4tau3,hoat4tau3,huattau,hoattau,ht,ht,True
泛舟,huàn-tsiu,25,hoàn-chiu,huan3tsiu1,hoan3chiu1,huantsiu,hoanchiu,ht,hc,True
泡芙,phàu-hû,25,phàu-hû,phau3hu5,phau3hu5,phauhu,phauhu,ph,ph,True
泰拳,thài-kûn,25,thài-kûn,thai3kun5,thai3kun5,thaikun,thaikun,tk,tk,True
浮粉,phû-hún,25,phû-hún,phu5hun2,phu5hun2,phuhun,phuhun,ph,ph,True
浸油,tsìm-iû,25,chìm-iû,tsim3iu5,chim3iu5,tsimiu,chimiu,ti,ci,True
液化,i̍k-huà,25,e̍k-hòa,ik8hua3,ek8hoa3,ikhua,ekhoa,ih,eh,True
涼麵,liâng-mī,25,liâng-mī,liang5mi7,liang5mi7,liangmi,liangmi,lm,lm,True
淋巴,lîm-pa,25,lîm-pa,lim5pa1,lim5pa1,limpa,limpa,lp,lp,True
淡斑,tām-pan,25,tām-pan,tam7pan1,tam7pan1,tampan,tampan,tp,tp,True
深跍,tshim-khû,25,chhim-khû,tshim1khu5,chhim1khu5,tshimkhu,chhimkhu,tk,ck,True
游標,iû-phiau,25,iû-phiau,iu5phiau1,iu5phiau1,iuphiau,iuphiau,ip,ip,True
游標,iû-piau,25,iû-piau,iu5piau1,iu5piau1,iupiau,iupiau,ip,ip,True
湯餃,thng-kiáu,25,thng-kiáu,thng1kiau2,thng1kiau2,thngkiau,thngkiau,tk,tk,True
滑鼠,ku̍t-tshí,25,ku̍t-chhí,kut8tshi2,kut8chhi2,kuttshi,kutchhi,kt,kc,True
滑鼠,ku̍t-tshú,25,ku̍t-chhú,kut8tshu2,kut8chhu2,kuttshu,kutchhu,kt,kc,True
滾輪,kún-lûn,25,kún-lûn,kun2lun5,kun2lun5,kunlun,kunlun,kl,kl,True
漸層,tsiām-tsân,25,chiām-chân,tsiam7tsan5,chiam7chan5,tsiamtsan,chiamchan,tt,cc,True
澄清,tîng-tshing,25,têng-chheng,ting5tshing1,teng5chheng1,tingtshing,tengchheng,tt,tc,True
灌籃,kuàn-nâ,25,koàn-nâ,kuan3na5,koan3na5,kuanna,koanna,kn,kn,True
火腿,hué-thuí,25,hóe-thúi,hue2thui2,hoe2thui2,huethui,hoethui,ht,ht,True
火腿,hé-thuí,25,hé-thúi,he2thui2,he2thui2,hethui,hethui,ht,ht,True
炊飯,tshe-pn̄g,25,chhe-pn̄g,tshe1png7,chhe1png7,tshepng,chhepng,tp,cp,True
炊飯,tshue-pn̄g,25,chhoe-pn̄g,tshue1png7,chhoe1png7,tshuepng,chhoepng,tp,cp,True
烏麥,oo-be̍h,25,o͘-be̍h,oo1beh8,oo1beh8,oobeh,oobeh,ob,ob,True
烘焙,hang-puē,25,hang-pōe,hang1pue7,hang1poe7,hangpue,hangpoe,hp,hp,True
烘焙,hang-pē,25,hang-pē,hang1pe7,hang1pe7,hangpe,hangpe,hp,hp,True
烘箱,hang-siunn,25,hang-siuⁿ,hang1siunn1,hang1siunn1,hangsiunn,hangsiunn,hs,hs,True
烘雞,hang-ke,25,hang-ke,hang1ke1,hang1ke1,hangke,hangke,hk,hk,True
烘雞,hang-kue,25,hang-koe,hang1kue1,hang1koe1,hangkue,hangkoe,hk,hk,True
焐卡,ù-khah,25,ù-khah,u3khah4,u3khah4,ukhah,ukhah,uk,uk,True
焙果,puē-kó,25,pōe-kó,pue7ko2,poe7ko2,pueko,poeko,pk,pk,True
焙果,pē-kó,25,pē-kó,pe7ko2,pe7ko2,peko,peko,pk,pk,True
焙茶,puē-tê,25,pōe-tê,pue7te5,poe7te5,puete,poete,pt,pt,True
焙茶,pē-tê,25,pē-tê,pe7te5,pe7te5,pete,pete,pt,pt,True
焦距,tsiau-kī,25,chiau-kī,tsiau1ki7,chiau1ki7,tsiauki,chiauki,tk,ck,True
焦距,tsiau-kū,25,chiau-kū,tsiau1ku7,chiau1ku7,tsiauku,chiauku,tk,ck,True
煎包,tsian-pau,25,chian-pau,tsian1pau1,chian1pau1,tsianpau,chianpau,tp,cp,True
煎餅,tsian-piánn,25,chian-piáⁿ,tsian1piann2,chian1piann2,tsianpiann,chianpiann,tp,cp,True
煙雞,ian-ke,25,ian-ke,ian1ke1,ian1ke1,ianke,ianke,ik,ik,True
煙雞,ian-kue,25,ian-koe,ian1kue1,ian1koe1,iankue,iankoe,ik,ik,True
煮食,tsú-tsia̍h,25,chú-chia̍h,tsu2tsiah8,chu2chiah8,tsutsiah,chuchiah,tt,cc,True
熊市,hîm-tshī,25,hîm-chhī,him5tshi7,him5chhi7,himtshi,himchhi,ht,hc,True
熱量,jia̍t-liōng,25,jia̍t-liōng,jiat8liong7,jiat8liong7,jiatliong,jiatliong,jl,jl,True
熱量,lia̍t-liōng,25,lia̍t-liōng,liat8liong7,liat8liong7,liatliong,liatliong,ll,ll,True
熱點,jia̍t-tiám,25,jia̍t-tiám,jiat8tiam2,jiat8tiam2,jiattiam,jiattiam,jt,jt,True
熱點,lia̍t-tiám,25,lia̍t-tiám,liat8tiam2,liat8tiam2,liattiam,liattiam,lt,lt,True
熱齒,jia̍t-khí,25,jia̍t-khí,jiat8khi2,jiat8khi2,jiatkhi,jiatkhi,jk,jk,True
燕麥,iàn-be̍h,25,iàn-be̍h,ian3beh8,ian3beh8,ianbeh,ianbeh,ib,ib,True
牚夯,thènn-giâ,25,thèⁿ-giâ,thenn3gia5,thenn3gia5,thenngia,thenngia,tg,tg,True
牚夯,thìnn-giâ,25,thìⁿ-giâ,thinn3gia5,thinn3gia5,thinngia,thinngia,tg,tg,True
牛市,gû-tshī,25,gû-chhī,gu5tshi7,gu5chhi7,gutshi,guchhi,gt,gc,True
牛棚,gû-pênn,25,gû-pêⁿ,gu5penn5,gu5penn5,gupenn,gupenn,gp,gp,True
牛棚,gû-pînn,25,gû-pîⁿ,gu5pinn5,gu5pinn5,gupinn,gupinn,gp,gp,True
犯規,huān-kui,25,hoān-kui,huan7kui1,hoan7kui1,huankui,hoankui,hk,hk,True
狐獴,hôo-bông,25,hô͘-bông,hoo5bong5,hoo5bong5,hoobong,hoobong,hb,hb,True
狒狒,huì-huì,25,hùi-hùi,hui3hui3,hui3hui3,huihui,huihui,hh,hh,True
猴珠,kâu-tsu,25,kâu-chu,kau5tsu1,kau5chu1,kautsu,kauchu,kt,kc,True
珠光,tsu-kng,25,chu-kng,tsu1kng1,chu1kng1,tsukng,chukng,tk,ck,True
球迷,kiû-bê,25,kiû-bê,kiu5be5,kiu5be5,kiube,kiube,kb,kb,True
甘地,kam-tī,25,kam-tī,kam1ti7,kam1ti7,kamti,kamti,kt,kt,True
甜菜,tinn-tshài,25,tiⁿ-chhài,tinn1tshai3,tinn1chhai3,tinntshai,tinnchhai,tt,tc,True
田徑,tiân-kìng,25,tiân-kèng,tian5king3,tian5keng3,tianking,tiankeng,tk,tk,True
甲烷,kah-uân,25,kah-oân,kah4uan5,kah4oan5,kahuan,kahoan,ku,ko,True
甲醇,kah-sûn,25,kah-sûn,kah4sun5,kah4sun5,kahsun,kahsun,ks,ks,True
留話,lâu-uē,25,lâu-ōe,lau5ue7,lau5oe7,lauue,lauoe,lu,lo,True
番鼠,huan-tshí,25,hoan-chhí,huan1tshi2,hoan1chhi2,huantshi,hoanchhi,ht,hc,True
番鼠,huan-tshú,25,hoan-chhú,huan1tshu2,hoan1chhu2,huantshu,hoanchhu,ht,hc,True
畫素,uē-sòo,25,ōe-sò͘,ue7soo3,oe7soo3,uesoo,oesoo,us,os,True
畫素,uī-sòo,25,ūi-sò͘,ui7soo3,ui7soo3,uisoo,uisoo,us,us,True
畫質,uē-tsit,25,ōe-chit,ue7tsit4,oe7chit4,uetsit,oechit,ut,oc,True
畫質,uī-tsit,25,ūi-chit,ui7tsit4,ui7chit4,uitsit,uichit,ut,uc,True
病尾,pēnn-bué,25,pēⁿ-bóe,penn7bue2,penn7boe2,pennbue,pennboe,pb,pb,True
病尾,pēnn-bé,25,pēⁿ-bé,penn7be2,penn7be2,pennbe,pennbe,pb,pb,True
登入,ting-ji̍p,25,teng-ji̍p,ting1jip8,teng1jip8,tingjip,tengjip,tj,tj,True
登出,ting-tshut,25,teng-chhut,ting1tshut4,teng1chhut4,tingtshut,tengchhut,tt,tc,True
發球,huat-kiû,25,hoat-kiû,huat4kiu5,hoat4kiu5,huatkiu,hoatkiu,hk,hk,True
白醬,pe̍h-tsiùnn,25,pe̍h-chiùⁿ,peh8tsiunn3,peh8chiunn3,pehtsiunn,pehchiunn,pt,pc,True
盜壘,tō-luí,25,tō-lúi,to7lui2,to7lui2,tolui,tolui,tl,tl,True
監交,kàm-kau,25,kàm-kau,kam3kau1,kam3kau1,kamkau,kamkau,kk,kk,True
盤舌,puânn-tsi̍h,25,pôaⁿ-chi̍h,puann5tsih8,poann5chih8,puanntsih,poannchih,pt,pc,True
目巡,ba̍k-sûn,25,ba̍k-sûn,bak8sun5,bak8sun5,baksun,baksun,bs,bs,True
目彩,ba̍k-tshái,25,ba̍k-chhái,bak8tshai2,bak8chhai2,baktshai,bakchhai,bt,bc,True
直播,ti̍t-pò,25,ti̍t-pò,tit8po3,tit8po3,titpo,titpo,tp,tp,True
相偃,sio-ián,25,sio-ián,sio1ian2,sio1ian2,sioian,sioian,si,si,True
眼影,gán-iánn,25,gán-iáⁿ,gan2iann2,gan2iann2,ganiann,ganiann,gi,gi,True
眼膜,gán-mo̍oh,25,gán-mo̍͘h,gan2mooh8,gan2mooh8,ganmooh,ganmooh,gm,gm,True
眼霜,gán-song,25,gán-song,gan2song1,gan2song1,gansong,gansong,gs,gs,True
短跑,té-pháu,25,té-pháu,te2phau2,te2phau2,tephau,tephau,tp,tp,True
石滬,tsio̍h-hōo,25,chio̍h-hō͘,tsioh8hoo7,chioh8hoo7,tsiohhoo,chiohhoo,th,ch,True
矽砂,si̍k-sua,25,se̍k-soa,sik8sua1,sek8soa1,siksua,seksoa,ss,ss,True
硩線,teh-suànn,25,teh-sòaⁿ,teh4suann3,teh4soann3,tehsuann,tehsoann,ts,ts,True
硬夯,ngē-giâ,25,ngē-giâ,nge7gia5,nge7gia5,ngegia,ngegia,ng,ng,True
硬夯,ngī-giâ,25,ngī-giâ,ngi7gia5,ngi7gia5,ngigia,ngigia,ng,ng,True
硬體,ngē-thé,25,ngē-thé,nge7the2,nge7the2,ngethe,ngethe,nt,nt,True
硬體,ngī-thé,25,ngī-thé,ngi7the2,ngi7the2,ngithe,ngithe,nt,nt,True
磕網,kha̍p-bāng,25,kha̍p-bāng,khap8bang7,khap8bang7,khapbang,khapbang,kb,kb,True
社畜,siā-thiok,25,siā-thiok,sia7thiok4,sia7thiok4,siathiok,siathiok,st,st,True
移工,î-kang,25,î-kang,i5kang1,i5kang1,ikang,ikang,ik,ik,True
競行,kìng-kiânn,25,kèng-kiâⁿ,king3kiann5,keng3kiann5,kingkiann,kengkiann,kk,kk,True
競行,kīng-kiânn,25,kēng-kiâⁿ,king7kiann5,keng7kiann5,kingkiann,kengkiann,kk,kk,True
笑痕,tshiò-hûn,25,chhiò-hûn,tshio3hun5,chhio3hun5,tshiohun,chhiohun,th,ch,True
笑豆,tshiò-tāu,25,chhiò-tāu,tshio3tau7,chhio3tau7,tshiotau,chhiotau,tt,ct,True
箭靶,tsìnn-pé,25,chìⁿ-pé,tsinn3pe2,chinn3pe2,tsinnpe,chinnpe,tp,cp,True
篩選,thai-suán,25,thai-soán,thai1suan2,thai1soan2,thaisuan,thaisoan,ts,ts,True
籃球,nâ-kiû,25,nâ-kiû,na5kiu5,na5kiu5,nakiu,nakiu,nk,nk,True
米線,bí-suànn,25,bí-sòaⁿ,bi2suann3,bi2soann3,bisuann,bisoann,bs,bs,True
粉刺,hún-tshì,25,hún-chhì,hun2tshi3,hun2chhi3,huntshi,hunchhi,ht,hc,True
粉底,hún-tué,25,hún-tóe,hun2tue2,hun2toe2,huntue,huntoe,ht,ht,True
粉底,hún-té,25,hún-té,hun2te2,hun2te2,hunte,hunte,ht,ht,True
粉條,hún-tiâu,25,hún-tiâu,hun2tiau5,hun2tiau5,huntiau,huntiau,ht,ht,True
粉肝,hún-kuann,25,hún-koaⁿ,hun2kuann1,hun2koann1,hunkuann,hunkoann,hk,hk,True
粉腸,hún-tn̂g,25,hún-tn̂g,hun2tng5,hun2tng5,huntng,huntng,ht,ht,True
粉腸,hún-tshiâng,25,hún-chhiâng,hun2tshiang5,hun2chhiang5,huntshiang,hunchhiang,ht,hc,True
粉膏,hún-ko,25,hún-ko,hun2ko1,hun2ko1,hunko,hunko,hk,hk,True
粉餅,hún-piánn,25,hún-piáⁿ,hun2piann2,hun2piann2,hunpiann,hunpiann,hp,hp,True
粗體,tshoo-thé,25,chho͘-thé,tshoo1the2,chhoo1the2,tshoothe,chhoothe,tt,ct,True
粿仔,ké-á,25,ké-á,ke2a2,ke2a2,kea,kea,ka,ka,True
糋路,tsìnn-lōo,25,chìⁿ-lō͘,tsinn3loo7,chinn3loo7,tsinnloo,chinnloo,tl,cl,True
糖霜,thn̂g-sng,25,thn̂g-sng,thng5sng1,thng5sng1,thngsng,thngsng,ts,ts,True
紅牌,âng-pâi,25,âng-pâi,ang5pai5,ang5pai5,angpai,angpai,ap,ap,True
紅醬,âng-tsiùnn,25,âng-chiùⁿ,ang5tsiunn3,ang5chiunn3,angtsiunn,angchiunn,at,ac,True
紋斑,bûn-pan,25,bûn-pan,bun5pan1,bun5pan1,bunpan,bunpan,bp,bp,True
級差,kip-tsha,25,kip-chha,kip4tsha1,kip4chha1,kiptsha,kipchha,kt,kc,True
素肉,sòo-bah,25,sò͘-bah,soo3bah4,soo3bah4,soobah,soobah,sb,sb,True
素顏,sòo-gân,25,sò͘-gân,soo3gan5,soo3gan5,soogan,soogan,sg,sg,True
組手,tsoo-tshiú,25,cho͘-chhiú,tsoo1tshiu2,choo1chhiu2,tsootshiu,choochhiu,tt,cc,True
網址,bāng-tsí,25,bāng-chí,bang7tsi2,bang7chi2,bangtsi,bangchi,bt,bc,True
網球,bāng-kiû,25,bāng-kiû,bang7kiu5,bang7kiu5,bangkiu,bangkiu,bk,bk,True
網紅,bāng-âng,25,bāng-âng,bang7ang5,bang7ang5,bangang,bangang,ba,ba,True
網衝,bāng-tshìng,25,bāng-chhèng,bang7tshing3,bang7chheng3,bangtshing,bangchheng,bt,bc,True
緩刑,uān-hîng,25,oān-hêng,uan7hing5,oan7heng5,uanhing,oanheng,uh,oh,True
縮圖,sok-tôo,25,sok-tô͘,sok4too5,sok4too5,soktoo,soktoo,st,st,True
總匯,tsóng-huē,25,chóng-hōe,tsong2hue7,chong2hoe7,tsonghue,chonghoe,th,ch,True
罰球,hua̍t-kiû,25,hoa̍t-kiû,huat8kiu5,hoat8kiu5,huatkiu,hoatkiu,hk,hk,True
美白,bí-pe̍h,25,bí-pe̍h,bi2peh8,bi2peh8,bipeh,bipeh,bp,bp,True
翻糖,huan-thn̂g,25,hoan-thn̂g,huan1thng5,hoan1thng5,huanthng,hoanthng,ht,ht,True
老妝,lāu-tsong,25,lāu-chong,lau7tsong1,lau7chong1,lautsong,lauchong,lt,lc,True
老茶,lāu-tê,25,lāu-tê,lau7te5,lau7te5,laute,laute,lt,lt,True
考古,khó-kóo,25,khó-kó͘,kho2koo2,kho2koo2,khokoo,khokoo,kk,kk,True
考銃,khó-tshìng,25,khó-chhèng,kho2tshing3,kho2chheng3,khotshing,khochheng,kt,kc,True
耳機,hī-ki,25,hī-ki,hi7ki1,hi7ki1,hiki,hiki,hk,hk,True
耳機,hīnn-ki,25,hīⁿ-ki,hinn7ki1,hinn7ki1,hinnki,hinnki,hk,hk,True
職場,tsit-tiûnn,25,chit-tiûⁿ,tsit4tiunn5,chit4tiunn5,tsittiunn,chittiunn,tt,ct,True
聽牌,thiann-pâi,25,thiaⁿ-pâi,thiann1pai5,thiann1pai5,thiannpai,thiannpai,tp,tp,True
肉桂,jio̍k-kuì,25,jio̍k-kùi,jiok8kui3,jiok8kui3,jiokkui,jiokkui,jk,jk,True
肉桂,lio̍k-kuì,25,lio̍k-kùi,liok8kui3,liok8kui3,liokkui,liokkui,lk,lk,True
胡桃,ôo-thô,25,ô͘-thô,oo5tho5,oo5tho5,ootho,ootho,ot,ot,True
胭脂,ian-tsi,25,ian-chi,ian1tsi1,ian1chi1,iantsi,ianchi,it,ic,True
脂肪,tsi-hong,25,chi-hong,tsi1hong1,chi1hong1,tsihong,chihong,th,ch,True
脆球,tshè-kiû,25,chhè-kiû,tshe3kiu5,chhe3kiu5,tshekiu,chhekiu,tk,ck,True
脫單,thuat-tuann,25,thoat-toaⁿ,thuat4tuann1,thoat4toann1,thuattuann,thoattoann,tt,tt,True
腰果,io-kó,25,io-kó,io1ko2,io1ko2,ioko,ioko,ik,ik,True
腹地,pak-tuē,25,pak-tōe,pak4tue7,pak4toe7,paktue,paktoe,pt,pt,True
腹地,pak-tē,25,pak-tē,pak4te7,pak4te7,pakte,pakte,pt,pt,True
腿捒,thuí-sak,25,thúi-sak,thui2sak4,thui2sak4,thuisak,thuisak,ts,ts,True
腿法,thuí-huat,25,thúi-hoat,thui2huat4,thui2hoat4,thuihuat,thuihoat,th,th,True
膠質,ka-tsit,25,ka-chit,ka1tsit4,ka1chit4,katsit,kachit,kt,kc,True
膨粉,phòng-hún,25,phòng-hún,phong3hun2,phong3hun2,phonghun,phonghun,ph,ph,True
臍帶,tsâi-tuà,25,châi-tòa,tsai5tua3,chai5toa3,tsaitua,chaitoa,tt,ct,True
航線,hâng-suànn,25,hâng-sòaⁿ,hang5suann3,hang5soann3,hangsuann,hangsoann,hs,hs,True
船桮,tsûn-pe,25,chûn-pe,tsun5pe1,chun5pe1,tsunpe,chunpe,tp,cp,True
船桮,tsûn-pue,25,chûn-poe,tsun5pue1,chun5poe1,tsunpue,chunpoe,tp,cp,True
船槳,tsûn-tsiúnn,25,chûn-chiúⁿ,tsun5tsiunn2,chun5chiunn2,tsuntsiunn,chunchiunn,tt,cc,True
色票,sik-phiò,25,sek-phiò,sik4phio3,sek4phio3,sikphio,sekphio,sp,sp,True
色素,sik-sòo,25,sek-sò͘,sik4soo3,sek4soo3,siksoo,seksoo,ss,ss,True
芋泥,ōo-nî,25,ō͘-nî,oo7ni5,oo7ni5,ooni,ooni,on,on,True
花椒,hua-tsio,25,hoa-chio,hua1tsio1,hoa1chio1,huatsio,hoachio,ht,hc,True
花椒,hue-tsio,25,hoe-chio,hue1tsio1,hoe1chio1,huetsio,hoechio,ht,hc,True
芳料,phang-liāu,25,phang-liāu,phang1liau7,phang1liau7,phangliau,phangliau,pl,pl,True
茶凍,tê-tàng,25,tê-tàng,te5tang3,te5tang3,tetang,tetang,tt,tt,True
落妝,lak-tsong,25,lak-chong,lak4tsong1,lak4chong1,laktsong,lakchong,lt,lc,True
蒲燒,pôo-sio,25,pô͘-sio,poo5sio1,poo5sio1,poosio,poosio,ps,ps,True
蒸餾,tsing-liū,25,cheng-liū,tsing1liu7,cheng1liu7,tsingliu,chengliu,tl,cl,True
蓄水,thiok-tsuí,25,thiok-chúi,thiok4tsui2,thiok4chui2,thioktsui,thiokchui,tt,tc,True
蕨貓,keh-niau,25,keh-niau,keh4niau1,keh4niau1,kehniau,kehniau,kn,kn,True
蕨貓,kueh-niau,25,koeh-niau,kueh4niau1,koeh4niau1,kuehniau,koehniau,kn,kn,True
薄妝,po̍h-tsong,25,po̍h-chong,poh8tsong1,poh8chong1,pohtsong,pohchong,pt,pc,True
